,numberFire_FP,numberFire_CI,Ranks_Ovr.,Ranks_Pos.,Passing_C/A,Passing_Yds,Passing_TDs,Passing_Ints,Rushing_Att,Rushing_Yds,Rushing_TDs,Receiving_Rec,Receiving_Tgt,Receiving_Yds,Receiving_TDs
"Deebo Samuel  D. Samuel  (WR, SF)",133.36,109.14-157.58,#99,#30,0.00/0.00,0.0,0.0,0.0,5.77,29.59,0.23,72.24,110.72,982.75,5.31
"Robby Anderson  R. Anderson  (WR, CAR)",133.06,108.87-157.25,#100,#31,0.00/0.00,0.0,0.0,0.0,3.27,17.02,0.17,79.97,137.11,939.18,6.32
"Teddy Bridgewater  T. Bridgewater  (QB, DEN)",132.97,104.6-161.34,#101,#36,188.96/280.50,2091.96,10.78,7.21,28.99,123.8,1.67,0.0,0.0,0.0,0.0
"Ronald Jones  R. Jones  (RB, TB)",132.78,108.51-157.05,#102,#31,0.00/0.00,0.0,0.0,0.0,171.72,741.41,6.67,21.11,28.67,143.06,1.02
"Jerry Jeudy  J. Jeudy  (WR, DEN)",132.18,108.07-156.29,#103,#32,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,75.72,129.17,994.88,5.59
"Leonard Fournette  L. Fournette  (RB, TB)",132.11,107.89-156.33,#104,#32,0.00/0.00,0.0,0.0,0.0,169.23,723.44,6.44,23.57,31.87,144.52,1.1
"Zack Moss  Z. Moss  (RB, BUF)",131.04,106.9-155.18,#105,#33,0.00/0.00,0.0,0.0,0.0,161.81,692.28,6.71,21.18,29.25,151.37,1.14
"Mike Williams  M. Williams  (WR, LAC)",131.01,107-155.02,#106,#33,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,59.87,102.87,954.7,5.92
"Kyle Pitts  K. Pitts  (TE, ATL)",129.27,105.41-153.13,#107,#5,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,77.46,115.33,889.22,6.8
"D.J. Chark  D. Chark  (WR, JAC)",127.77,104.04-151.5,#108,#34,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,72.49,122.63,952.27,5.47
"Brandin Cooks  B. Cooks  (WR, HOU)",127.61,103.89-151.33,#109,#35,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,71.17,111.99,966.53,5.18
"Andy Dalton  A. Dalton  (QB, CHI)",126.03,97.86-154.2,#110,#37,195.51/300.68,2055.02,12.34,6.95,13.35,50.83,0.71,0.0,0.0,0.0,0.0
"Michael Thomas  M. Thomas  (WR, NO)",125.2,100.69-149.71,#111,#36,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,75.65,110.14,925.13,5.46
