,numberFire_FP,numberFire_CI,Ranks_Ovr.,Ranks_Pos.,Passing_C/A,Passing_Yds,Passing_TDs,Passing_Ints,Rushing_Att,Rushing_Yds,Rushing_TDs,Receiving_Rec,Receiving_Tgt,Receiving_Yds,Receiving_TDs
"Nelson Agholor  N. Agholor  (WR, NE)",70.5,51.66-89.34,#198,#84,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,38.93,66.02,529.83,3.0
"Denzel Mims  D. Mims  (WR, NYJ)",70.41,51.58-89.24,#199,#85,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,41.35,65.93,536.18,2.86
"Marquez Callaway  M. Callaway  (WR, NO)",70.13,51.27-88.99,#200,#86,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,42.28,66.98,529.28,3.05
"Hunter Renfrow  H. Renfrow  (WR, LV)",69.7,50.93-88.47,#201,#87,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,42.89,65.44,536.45,2.79
"Tarik Cohen  T. Cohen  (RB, CHI)",69.43,50.18-88.68,#202,#53,0.00/0.00,0.0,0.0,0.0,40.69,177.44,1.13,47.29,66.05,332.41,2.3
"Justin Jackson  J. Jackson  (RB, LAC)",69.29,50.06-88.52,#203,#54,0.00/0.00,0.0,0.0,0.0,91.32,403.59,2.37,13.73,18.63,99.13,0.83
"Marquez Valdes-Scantling  M. Valdes-Scantling  (WR, GB)",66.18,47.7-84.66,#204,#88,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,30.91,54.3,486.16,2.98
"Rashard Higgins  R. Higgins  (WR, CLE)",65.56,47.14-83.98,#205,#89,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,35.29,55.94,487.72,2.99
"Cole Kmet  C. Kmet  (TE, CHI)",64.52,46.19-82.85,#206,#25,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,42.55,64.81,431.22,3.67
"Salvon Ahmed  S. Ahmed  (RB, MIA)",64.33,45.49-83.17,#207,#55,0.00/0.00,0.0,0.0,0.0,89.98,386.3,2.83,10.37,13.79,60.05,0.54
"Gerald Everett  G. Everett  (TE, SEA)",63.94,45.65-82.23,#208,#26,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,39.55,62.6,396.17,4.12
"Darrel Williams  D. Williams  (RB, KC)",62.39,43.71-81.07,#209,#56,0.00/0.00,0.0,0.0,0.0,70.81,295.72,2.2,19.16,25.92,142.38,1.03
"Jamison Crowder  J. Crowder  (WR, NYJ)",62.26,44.12-80.4,#210,#90,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,39.39,61.25,459.63,2.75
"Hayden Hurst  H. Hurst  (TE, ATL)",61.63,43.54-79.72,#211,#27,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,40.87,62.73,427.38,3.15
"Amari Rodgers  A. Rodgers  (WR, GB)",60.05,42.1-78,#212,#91,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,34.26,53.21,427.96,2.96
"D'Wayne Eskridge  D. Eskridge  (WR, SEA)",59.75,41.82-77.68,#213,#92,0.00/0.00,0.0,0.0,0.0,2.22,11.01,0.07,37.44,58.41,400.76,3.1
"Chris Conley  C. Conley  (WR, HOU)",59.67,41.75-77.59,#214,#93,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,34.24,57.56,461.7,2.37
"Sammy Watkins  S. Watkins  (WR, BAL)",59.62,41.7-77.54,#215,#94,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,33.5,56.39,393.3,3.48
"Mohamed Sanu  M. Sanu  (WR, SF)",57.49,39.76-75.22,#216,#95,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,39.87,61.14,417.46,2.7
"Zach Pascal  Z. Pascal  (WR, IND)",57.34,39.62-75.06,#217,#96,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,30.17,52.53,401.87,2.89
"Xavier Jones  X. Jones  (RB, LA)",57.29,39.01-75.57,#218,#57,0.00/0.00,0.0,0.0,0.0,71.78,306.79,2.09,13.06,17.85,97.83,0.85
"Chris Herndon  C. Herndon  (TE, NYJ)",56.77,39.1-74.44,#219,#28,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,37.19,53.71,391.82,3.08
"Ty Johnson  T. Johnson  (RB, NYJ)",56.61,38.39-74.83,#220,#58,0.00/0.00,0.0,0.0,0.0,83.2,360.5,1.99,10.3,13.75,64.75,0.49
"Dawson Knox  D. Knox  (TE, BUF)",55.67,38.1-73.24,#221,#29,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,31.75,50.44,356.06,3.43
"Tyler Conklin  T. Conklin  (TE, MIN)",55.53,37.96-73.1,#222,#30,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,34.33,51.79,359.35,3.34
"Kenneth Gainwell  K. Gainwell  (RB, PHI)",54.42,36.37-72.47,#223,#59,0.00/0.00,0.0,0.0,0.0,68.98,306.43,1.72,13.71,18.72,102.42,0.68
"Rhamondre Stevenson  R. Stevenson  (RB, NE)",54.4,36.35-72.45,#224,#60,0.00/0.00,0.0,0.0,0.0,77.6,332.77,2.38,7.67,10.73,54.46,0.35
"Tyler Eifert  T. Eifert  (TE, JAC)",54.26,36.8-71.72,#225,#31,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,35.57,54.06,351.17,3.17
"Jeff Wilson  J. Wilson  (RB, SF)",54.2,35.95-72.45,#226,#61,0.00/0.00,0.0,0.0,0.0,64.2,291.5,3.36,5.63,8.13,44.27,0.26
"Geronimo Allison  G. Allison  (WR, DET)",53.98,36.55-71.41,#227,#97,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,38.92,59.73,421.71,2.22
"Darrynton Evans  D. Evans  (RB, TEN)",52.38,34.49-70.27,#228,#62,0.00/0.00,0.0,0.0,0.0,47.41,198.15,1.28,25.58,34.72,174.71,1.29
"Dyami Brown  D. Brown  (WR, WSH)",52.15,34.88-69.42,#229,#98,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,28.93,45.65,397.54,2.12
"Damien Williams  D. Williams  (RB, CHI)",52.03,34.17-69.89,#230,#63,0.00/0.00,0.0,0.0,0.0,55.26,231.56,1.74,17.58,24.22,139.2,0.9
"James Washington  J. Washington  (WR, PIT)",51.29,34.09-68.49,#231,#99,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,29.01,49.89,373.9,2.36
"Mo Alie-Cox  M. Alie-Cox  (TE, IND)",51.05,33.87-68.23,#232,#32,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,29.08,44.94,331.4,3.04
"Demarcus Robinson  D. Robinson  (WR, KC)",50.99,33.82-68.16,#233,#100,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,29.4,46.69,355.69,2.63
"Donald Parham Jr.  D. Parham Jr.  (TE, LAC)",50.38,33.26-67.5,#234,#33,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,29.37,43.28,317.65,3.15
"Travis Fulgham  T. Fulgham  (WR, PHI)",50.1,33-67.2,#235,#101,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,28.36,47.56,377.53,2.09
"Jalen Guyton  J. Guyton  (WR, LAC)",49.79,32.72-66.86,#236,#102,0.00/0.00,0.0,0.0,0.0,3.96,21.06,0.19,24.22,39.68,331.18,2.29
"Kendrick Bourne  K. Bourne  (WR, NE)",49.64,32.57-66.71,#237,#103,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,29.13,48.24,373.19,2.08
"Olamide Zaccheaus  O. Zaccheaus  (WR, ATL)",49.37,32.33-66.41,#238,#104,0.00/0.00,0.0,0.0,0.0,1.04,5.42,0.0,28.18,44.58,369.02,2.0
"Mark Ingram  M. Ingram  (RB, HOU)",47.88,30.35-65.41,#239,#64,0.00/0.00,0.0,0.0,0.0,50.14,245.08,1.55,14.23,18.85,107.65,0.6
"Bryan Edwards  B. Edwards  (WR, LV)",47.78,30.88-64.68,#240,#105,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,27.86,43.91,363.56,1.95
"Deonte Harris  D. Harris  (WR, NO)",46.59,29.69-63.49,#241,#106,0.00/0.00,0.0,0.0,0.0,5.84,31.04,0.27,26.76,41.92,319.86,1.92
"David Njoku  D. Njoku  (TE, CLE)",43.41,26.88-59.94,#242,#34,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,25.56,40.11,282.63,2.53
"Cordarrelle Patterson  C. Patterson  (RB, ATL)",43.31,26.14-60.48,#243,#65,0.00/0.00,0.0,0.0,0.0,47.44,218.43,1.35,12.43,18.64,107.11,0.64
"K.J. Hamler  K. Hamler  (WR, DEN)",42.56,26.1-59.02,#244,#107,0.00/0.00,0.0,0.0,0.0,6.66,35.12,0.31,24.11,39.41,282.26,1.58
"Joshua Kelley  J. Kelley  (RB, LAC)",42.55,25.44-59.66,#245,#66,0.00/0.00,0.0,0.0,0.0,65.4,273.71,1.7,5.56,7.44,38.33,0.34
"Donte Moncrief  D. Moncrief  (WR, HOU)",42.34,25.9-58.78,#246,#108,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,24.3,44.35,304.79,1.98
"Marlon Mack  M. Mack  (RB, IND)",42.21,25.12-59.3,#247,#67,0.00/0.00,0.0,0.0,0.0,47.24,206.28,1.85,9.73,14.1,73.07,0.52
"Jack Doyle  J. Doyle  (TE, IND)",41.95,25.54-58.36,#248,#35,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,26.51,40.85,268.46,2.63
"Josh Palmer  J. Palmer  (WR, LAC)",41.04,24.71-57.37,#249,#109,0.00/0.00,0.0,0.0,0.0,0.0,0.0,0.0,24.06,39.08,293.42,1.97
"Samaje Perine  S. Perine  (RB, CIN)",40.67,23.71-57.63,#250,#68,0.00/0.00,0.0,0.0,0.0,63.76,260.78,1.48,6.0,7.95,43.49,0.26
